class_tag,Overall score Excellent,Overall score Very Good,Overall score Good,Overall score Fair,Overall score Unsatisfactory,Overall score Course Mean,Overall score FAS Mean,Materials Excellent,Materials Very Good,Materials Good,Materials Fair,Materials Unsatisfactory,Materials Course Mean,Materials FAS Mean,Assignments Excellent,Assignments Very Good,Assignments Good,Assignments Fair,Assignments Unsatisfactory,Assignments Course Mean,Assignments FAS Mean,Feedback Excellent,Feedback Very Good,Feedback Good,Feedback Fair,Feedback Unsatisfactory,Feedback Course Mean,Feedback FAS Mean,Section Excellent,Section Very Good,Section Good,Section Fair,Section Unsatisfactory,Section Course Mean,Section FAS Mean,mean_hours
NEUROBIO 322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 322L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 322L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 323L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 323L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 324L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 324L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 325L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 325L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 326L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 326L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 327R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 327R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 328DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 328DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 329L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 329L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 330DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 330L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 330L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 331DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 331DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 331L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 331L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 332DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 332DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 332L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 332L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 333L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 333L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 334L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 334L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 336L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 336L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 337L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 337L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 338L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 338L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 339L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 339L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 347L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 347L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 352L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 352L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 358L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 358L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 363L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 363L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 368L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 368L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 369L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 369L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 375L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 375L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 377L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 377L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 388L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 388L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 389L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 389L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 390L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 390L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 391L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 391L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 392L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 392L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 394L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 394L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 395L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 395L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEUROBIO 399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OEB 10,7%,28%,39%,19%,7%,3.09,4.20,26%,31%,28%,13%,2%,3.67,4.18,4%,9%,35%,28%,24%,2.41,4.04,35%,30%,17%,13%,6%,3.76,4.07,48%,35%,11%,4%,2%,4.24,4.20,6.31
OEB 50,55%,32%,14%,0%,0%,4.41,4.20,36%,41%,23%,0%,0%,4.14,4.18,52%,43%,5%,0%,0%,4.48,4.04,45%,32%,9%,14%,0%,4.09,4.07,27%,32%,23%,9%,9%,3.59,4.20,4.50
OEB 51,67%,33%,0%,0%,0%,4.67,4.22,44%,56%,0%,0%,0%,4.44,4.22,22%,44%,33%,0%,0%,3.89,4.10,38%,38%,25%,0%,0%,4.13,4.11,38%,63%,0%,0%,0%,4.38,4.25,2.33
OEB 52,55%,23%,15%,2%,4%,4.23,4.18,50%,23%,23%,5%,0%,4.18,4.19,34%,34%,18%,11%,2%,3.86,4.05,40%,29%,18%,9%,4%,3.91,4.08,53%,23%,12%,5%,7%,4.12,4.22,4.57
OEB 53,78%,22%,0%,0%,0%,4.78,4.20,81%,15%,4%,0%,0%,4.78,4.18,63%,26%,7%,4%,0%,4.48,4.04,63%,30%,7%,0%,0%,4.56,4.07,70%,26%,4%,0%,0%,4.67,4.20,4.59
OEB 55,31%,54%,0%,15%,0%,4.00,4.18,38%,38%,15%,8%,0%,4.08,4.19,31%,38%,15%,15%,0%,3.85,4.05,54%,46%,0%,0%,0%,4.54,4.08,62%,23%,15%,0%,0%,4.46,4.22,5.15
OEB 56,50%,33%,8%,8%,0%,4.25,4.22,41%,27%,23%,9%,0%,4.00,4.22,14%,33%,43%,5%,5%,3.48,4.10,43%,22%,30%,4%,0%,4.04,4.11,48%,22%,26%,4%,0%,4.13,4.25,2.21
OEB 57,39%,32%,21%,5%,3%,4.00,4.22,39%,31%,28%,3%,0%,4.06,4.22,32%,11%,30%,16%,11%,3.38,4.10,17%,11%,28%,25%,19%,2.81,4.11,30%,32%,30%,8%,0%,3.84,4.25,3.70
OEB 58,79%,14%,0%,7%,0%,4.64,4.20,79%,7%,14%,0%,0%,4.64,4.18,36%,29%,21%,0%,14%,3.71,4.04,79%,7%,14%,0%,0%,4.64,4.07,57%,29%,14%,0%,0%,4.43,4.20,4.86
OEB 60,65%,25%,10%,0%,0%,4.55,4.22,64%,21%,15%,0%,0%,4.49,4.22,73%,20%,8%,0%,0%,4.65,4.10,62%,13%,18%,5%,3%,4.26,4.11,90%,0%,0%,10%,0%,4.70,4.25,2.66
OEB 91R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OEB 91R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OEB 99R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OEB 99R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OEB 104,86%,7%,7%,0%,0%,4.79,4.18,79%,14%,7%,0%,0%,4.71,4.19,92%,8%,0%,0%,0%,4.92,4.05,77%,15%,8%,0%,0%,4.69,4.08,N/A,N/A,N/A,N/A,N/A,NRP,4.22,2.14
OEB 106,78%,22%,0%,0%,0%,4.78,4.17,78%,22%,0%,0%,0%,4.78,4.15,67%,22%,11%,0%,0%,4.56,4.00,75%,13%,0%,13%,0%,4.50,3.95,67%,33%,0%,0%,0%,4.67,4.10,3.25
OEB 120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OEB 125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OEB 128,30%,40%,30%,0%,0%,4.00,4.22,40%,20%,30%,10%,0%,3.90,4.22,56%,33%,11%,0%,0%,4.44,4.10,22%,44%,33%,0%,0%,3.89,4.11,50%,50%,0%,0%,0%,4.50,4.25,3.67
OEB 137,50%,36%,14%,0%,0%,4.36,4.26,29%,50%,21%,0%,0%,4.07,4.25,57%,29%,7%,7%,0%,4.36,4.10,57%,21%,14%,7%,0%,4.29,4.11,67%,11%,22%,0%,0%,4.44,4.22,7.43
OEB 140,29%,29%,43%,0%,0%,3.86,4.20,29%,43%,29%,0%,0%,4.00,4.18,57%,29%,14%,0%,0%,4.43,4.04,57%,14%,29%,0%,0%,4.29,4.07,29%,29%,43%,0%,0%,3.86,4.20,3.71
OEB 145,8%,42%,33%,17%,0%,3.42,4.17,8%,42%,50%,0%,0%,3.58,4.16,17%,17%,50%,17%,0%,3.33,4.02,8%,75%,17%,0%,0%,3.92,4.03,8%,33%,33%,17%,8%,3.17,4.17,4.58
OEB 155R,64%,18%,18%,0%,0%,4.45,4.17,55%,18%,18%,9%,0%,4.18,4.16,45%,9%,9%,36%,0%,3.64,4.02,70%,0%,10%,20%,0%,4.20,4.03,75%,13%,13%,0%,0%,4.63,4.17,8.82
OEB 190,70%,17%,13%,0%,0%,4.57,4.18,55%,35%,5%,5%,0%,4.40,4.19,30%,26%,30%,4%,9%,3.65,4.05,45%,32%,14%,5%,5%,4.09,4.08,73%,18%,5%,5%,0%,4.59,4.22,4.61
OEB 223,75%,13%,13%,0%,0%,4.63,4.22,63%,13%,25%,0%,0%,4.38,4.22,63%,38%,0%,0%,0%,4.63,4.10,43%,43%,14%,0%,0%,4.29,4.11,100%,0%,0%,0%,0%,5.00,4.25,3.67
OEB 228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OEB 247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OEB 290,46%,46%,0%,0%,8%,4.23,4.22,62%,31%,0%,0%,8%,4.38,4.22,50%,25%,17%,0%,8%,4.08,4.10,58%,33%,0%,8%,0%,4.42,4.11,100%,0%,0%,0%,0%,5.00,4.25,3.00
OEB 303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OEB 303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OEB 305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OEB 305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OEB 306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OEB 306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OEB 308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OEB 308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OEB 309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OEB 309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OEB 310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OEB 310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OEB 311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OEB 311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OEB 314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OEB 314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OEB 320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OEB 320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OEB 321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OEB 321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OEB 323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OEB 323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OEB 324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OEB 324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OEB 334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OEB 334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OEB 339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OEB 339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OEB 341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OEB 341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
