class_tag,Overall score Excellent,Overall score Very Good,Overall score Good,Overall score Fair,Overall score Unsatisfactory,Overall score Course Mean,Overall score FAS Mean,Materials Excellent,Materials Very Good,Materials Good,Materials Fair,Materials Unsatisfactory,Materials Course Mean,Materials FAS Mean,Assignments Excellent,Assignments Very Good,Assignments Good,Assignments Fair,Assignments Unsatisfactory,Assignments Course Mean,Assignments FAS Mean,Feedback Excellent,Feedback Very Good,Feedback Good,Feedback Fair,Feedback Unsatisfactory,Feedback Course Mean,Feedback FAS Mean,Section Excellent,Section Very Good,Section Good,Section Fair,Section Unsatisfactory,Section Course Mean,Section FAS Mean,mean_hours
AFVS 24,50%,50%,0%,0%,0%,4.50,4.22,25%,50%,25%,0%,0%,4.00,4.22,38%,38%,25%,0%,0%,4.13,4.10,38%,25%,25%,0%,13%,3.75,4.11,0%,100%,0%,0%,0%,4.00,4.25,8.88
AFVS 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFVS 35R,86%,14%,0%,0%,0%,4.86,4.18,67%,33%,0%,0%,0%,4.67,4.19,67%,33%,0%,0%,0%,4.67,4.05,43%,57%,0%,0%,0%,4.43,4.08,100%,0%,0%,0%,0%,5.00,4.22,6.83
AFVS 40H 001,75%,25%,0%,0%,0%,4.75,4.22,75%,25%,0%,0%,0%,4.75,4.22,63%,25%,13%,0%,0%,4.50,4.10,75%,25%,0%,0%,0%,4.75,4.11,100%,0%,0%,0%,0%,5.00,4.25,8.00
AFVS 40H,75%,25%,0%,0%,0%,4.75,4.22,75%,25%,0%,0%,0%,4.75,4.22,63%,25%,13%,0%,0%,4.50,4.10,75%,25%,0%,0%,0%,4.75,4.11,100%,0%,0%,0%,0%,5.00,4.25,8.00
AFVS 40H 002,75%,25%,0%,0%,0%,4.75,4.20,100%,0%,0%,0%,0%,5.00,4.18,63%,25%,13%,0%,0%,4.50,4.04,71%,29%,0%,0%,0%,4.71,4.07,100%,0%,0%,0%,0%,5.00,4.20,4.75
AFVS 41A,38%,63%,0%,0%,0%,4.38,4.18,50%,38%,13%,0%,0%,4.38,4.19,38%,38%,25%,0%,0%,4.13,4.05,13%,25%,38%,25%,0%,3.25,4.08,57%,29%,14%,0%,0%,4.43,4.22,6.50
AFVS 50A,100%,0%,0%,0%,0%,5.00,4.20,71%,29%,0%,0%,0%,4.71,4.18,83%,17%,0%,0%,0%,4.83,4.04,83%,17%,0%,0%,0%,4.83,4.07,67%,33%,0%,0%,0%,4.67,4.20,13.00
AFVS 50B,100%,0%,0%,0%,0%,5.00,4.22,100%,0%,0%,0%,0%,5.00,4.22,100%,0%,0%,0%,0%,5.00,4.10,75%,13%,13%,0%,0%,4.63,4.11,100%,0%,0%,0%,0%,5.00,4.25,14.75
AFVS 52,43%,14%,43%,0%,0%,4.00,4.20,43%,14%,43%,0%,0%,4.00,4.18,43%,29%,29%,0%,0%,4.14,4.04,43%,29%,29%,0%,0%,4.14,4.07,100%,0%,0%,0%,0%,5.00,4.20,6.00
AFVS 53AR,100%,0%,0%,0%,0%,5.00,4.22,86%,14%,0%,0%,0%,4.86,4.22,100%,0%,0%,0%,0%,5.00,4.10,83%,0%,17%,0%,0%,4.67,4.11,100%,0%,0%,0%,0%,5.00,4.25,6.86
AFVS 53AR,100%,0%,0%,0%,0%,5.00,4.22,86%,14%,0%,0%,0%,4.86,4.22,100%,0%,0%,0%,0%,5.00,4.10,83%,0%,17%,0%,0%,4.67,4.11,100%,0%,0%,0%,0%,5.00,4.25,6.86
