class_name,class_tag,instructors,term,session,start_date,end_date,days,start_time,end_time,class_number,course_id,consent,enrolled,school,department,subject,location,units,course_component,grading_basis,cross_reg,exam/final_deadline,class_capacity,instruction_mode,curriculum_phase,visiting_clerks,required_course,distributional_electives,mds/mde_rec._elec.,up_project_based,up_concentration,up_methods,limited_enrollment,studio_option,academic_areas,waitlist,credit_type
Medical Sports Medicine,AC 512M 1,['Cynthia Stein'],2023 Fall,Full Term,7/5/2023,7/30/2023,,,,10094,219543,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,4,Discipline Specific,HMS Clinical Grading,N/A,,No Limit,In Person,Post-PCE,US-CANADIAN ONLY,,,,,,,,,,,
Medical Sports Medicine,AC 512M 1,,2024 Spring,Full Term,1/3/2024,1/28/2024,,,,17559,219543,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,4,Discipline Specific,HMS Clinical Grading,N/A,,No Limit,In Person,Post-PCE,US-CANADIAN ONLY,,,,,,,,,,,
Medical Sports Medicine,AC 512M 2,['Cynthia Stein'],2023 Fall,Full Term,7/31/2023,8/27/2023,,,,10125,219543,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,4,Discipline Specific,HMS Clinical Grading,Not Available for Cross Registration,,No Limit,In Person,Post-PCE,US-CANADIAN ONLY,,,,,,,,,,,
Medical Sports Medicine,AC 512M 2,,2024 Spring,Full Term,1/29/2024,2/25/2024,,,,17822,219543,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,4,Discipline Specific,HMS Clinical Grading,N/A,,No Limit,In Person,Post-PCE,US-CANADIAN ONLY,,,,,,,,,,,
Medical Sports Medicine,AC 512M 3,,2023 Fall,Full Term,8/28/2023,9/24/2023,,,,25741,219543,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,4,Discipline Specific,HMS Clinical Grading,N/A,,No Limit,In Person,Post-PCE,US-CANADIAN ONLY,,,,,,,,,,,
Medical Sports Medicine,AC 512M 3,,2024 Spring,Full Term,2/26/2024,3/24/2024,,,,18107,219543,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,4,Discipline Specific,HMS Clinical Grading,N/A,,No Limit,In Person,Post-PCE,US-CANADIAN ONLY,,,,,,,,,,,
Medical Sports Medicine,AC 512M 4,,2023 Fall,Full Term,9/25/2023,10/22/2023,,,,25959,219543,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,4,Discipline Specific,HMS Clinical Grading,N/A,,No Limit,In Person,Post-PCE,US-CANADIAN ONLY,,,,,,,,,,,
Medical Sports Medicine,AC 512M 4,,2024 Spring,Full Term,4/1/2024,4/28/2024,,,,18394,219543,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,4,Discipline Specific,HMS Clinical Grading,N/A,,No Limit,In Person,Post-PCE,US-CANADIAN ONLY,,,,,,,,,,,
Medical Sports Medicine,AC 512M 5,,2023 Fall,Full Term,10/23/2023,11/19/2023,,,,26253,219543,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,4,Discipline Specific,HMS Clinical Grading,N/A,,No Limit,In Person,Post-PCE,US-CANADIAN ONLY,,,,,,,,,,,
Medical Sports Medicine,AC 512M 5,,2024 Spring,Full Term,4/29/2024,5/26/2024,,,,18654,219543,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,4,Discipline Specific,HMS Clinical Grading,N/A,,No Limit,In Person,Post-PCE,US-CANADIAN ONLY,,,,,,,,,,,
Medical Sports Medicine,AC 512M 6,,2023 Fall,Full Term,11/20/2023,12/17/2023,,,,26524,219543,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,4,Discipline Specific,HMS Clinical Grading,N/A,,No Limit,In Person,Post-PCE,US-CANADIAN ONLY,,,,,,,,,,,
Medical Sports Medicine,AC 512M 6,,2024 Spring,Full Term,5/28/2024,6/23/2024,,,,18901,219543,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,4,Discipline Specific,HMS Clinical Grading,N/A,,No Limit,In Person,Post-PCE,US-CANADIAN ONLY,,,,,,,,,,,
Rural Family Medicine in New England,AC 513M 1,['Katherine Miller'],2023 Fall,Full Term,7/5/2023,7/30/2023,,,,10143,220041,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,4,Discipline Specific,HMS Clinical Grading,N/A,,No Limit,In Person,Post-PCE,NO,,,,,,,,,,,
Rural Family Medicine in New England,AC 513M 1,,2024 Spring,Full Term,4/29/2024,5/26/2024,,,,18774,220041,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,4,Discipline Specific,HMS Clinical Grading,N/A,,No Limit,In Person,Post-PCE,NO,,,,,,,,,,,
Rural Family Medicine in New England,AC 513M 2,['Katherine Miller'],2023 Fall,Full Term,7/31/2023,8/27/2023,,,,10144,220041,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,4,Discipline Specific,HMS Clinical Grading,Not Available for Cross Registration,,No Limit,In Person,Post-PCE,NO,,,,,,,,,,,
Rural Family Medicine in New England,AC 513M 2,,2024 Spring,Full Term,5/28/2024,6/23/2024,,,,19022,220041,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,4,Discipline Specific,HMS Clinical Grading,N/A,,No Limit,In Person,Post-PCE,NO,,,,,,,,,,,
Rural Family Medicine in New England,AC 513M 3,,2023 Fall,Full Term,8/28/2023,9/24/2023,,,,25860,220041,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,4,Discipline Specific,HMS Clinical Grading,N/A,,No Limit,In Person,Post-PCE,NO,,,,,,,,,,,
Primary Care Clerkship,AC 700M 1,,2023 Fall,Full Term,9/26/2023,9/22/2024,,,,26679,211001,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,0-4,Discipline Specific,HMS MD Sat/Unsat,N/A,,No Limit,In Person,PCE,NO,,,,,,,,,,,
Primary Care Clerkship,AC 700M 1,,2024 Spring,Full Term,4/1/2024,3/23/2025,,,,19035,211001,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,0-4,Discipline Specific,HMS MD Sat/Unsat,N/A,,No Limit,In Person,PCE,NO,,,,,,,,,,,
Primary Care Clerkship,AC 700M 2,,2023 Fall,Full Term,9/26/2023,9/22/2024,,,,26684,211001,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,0-4,Discipline Specific,HMS MD Sat/Unsat,N/A,,No Limit,In Person,PCE,NO,,,,,,,,,,,
Primary Care Clerkship,AC 700M 2,,2024 Spring,Full Term,4/1/2024,3/23/2025,,,,19037,211001,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,0-4,Discipline Specific,HMS MD Sat/Unsat,N/A,,No Limit,In Person,PCE,NO,,,,,,,,,,,
Primary Care Clerkship,AC 700M 3,,2023 Fall,Full Term,9/26/2023,9/22/2024,,,,26691,211001,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,0-4,Discipline Specific,HMS MD Sat/Unsat,N/A,,No Limit,In Person,PCE,NO,,,,,,,,,,,
